Cutting Matrix — Lot 11028,,,,,,
Lot Number:,11028,Style:,Cross Hoodie,,,
Fabric:,3553,Garment Type:,SWEATSHIRT,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
Black,11,28,56,28,28,140
off-white,11,27,54,27,27,135
olive,11,28,56,28,28,140
Total,,83,166,83,83,415
,,,,,,
,,,,,,
Cutting Matrix — Lot 11030,,,,,,
Lot Number:,11030,Style:,SW HOODIE,,,
Fabric:,KT-5060,Garment Type:,SWEATSHIRT,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
Camel,1,42,42,21,21,126
olive,1,34,34,17,17,102
black,1,68,68,34,34,204
Total,,144,144,72,72,432
,,,,,,
,,,,,,
Cutting Matrix — Lot 11033,,,,,,
Lot Number:,11033,Style:,,,,
Fabric:,H M LYCRA,Garment Type:,LOWER,,,
,,,,,,
Color,Cutting Table,M,L,XL,2XL,Total Pcs
NAVY,,15,30,15,15,75
BLACK,,18,36,18,18,90
KHAKHI,,18,36,18,18,90
GREEN,,18,36,18,18,90
BROWN,,18,36,18,18,90
CREAM,,18,36,18,18,90
COFFEE,,18,36,18,18,90
Total,,123,246,123,123,615
,,,,,,
,,,,,,
Cutting Matrix — Lot 11034,,,,,,
Lot Number:,11034,Style:,,,,
Fabric:,H M LYCRA,Garment Type:,LOWER,,,
,,,,,,
Color,Cutting Table,M,L,XL,2XL,Total Pcs
NAVY,1,15,30,15,15,75
BLACK,1,18,36,18,18,90
KHAKHI,1,18,36,18,18,90
GREEN,1,18,36,18,18,90
BROWN,1,18,36,18,18,90
CREAM,1,18,36,18,18,90
COFFEE,1,18,36,18,18,90
Total,,123,246,123,123,615
,,,,,,
,,,,,,
Cutting Matrix — Lot 11035,,,,,,
Lot Number:,11035,Style:,FULL ZIPPER (MONKEY HOOD),,,
Fabric:,MH GERMAN FLEECE,Garment Type:,SWEATSHIRT,,,
,,,,,,
Color,Cutting Table,M,L,XL,2XL,Total Pcs
LIGHT COFFEE,11,26,52,26,26,130
TEAL,11,21,42,21,21,105
BLACK,11,27,54,27,27,135
WHITE,11,25,50,25,25,125
15%,11,26,52,26,26,130
Total,,125,250,125,125,625
,,,,,,
,,,,,,
Cutting Matrix — Lot 11039,,,,,,
Lot Number:,11039,Style:,SW R/N,,,
Fabric:,MH  GERMAN FLEECE,Garment Type:,SWEATSHIRT,,,
,,,,,,
Color,Cutting Table,M,L,XL,2XL,Total Pcs
NEW COFFEE-LIGHT OLIVE,7,26,52,26,26,130
BLACK-NEW COFFEE,7,27,54,27,27,135
